FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
/storage/cylin/grail/projects/proving_ground/bams/	20160207_broadchor1_H3K27ac	hg19	PRIMARY_ML2738_H3K27AC	PRIMARY_ML2738_input		PRIMARY_ML2738_H3K27AC_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160207-broadchor1-H3K27Ac-ML2738_S2_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160207_broadchor1_inp	hg19	PRIMARY_ML2738_input	NONE		NONE	0,0,0	/storage/cylin/grail/data/chordoma/20160207-broadchor1-input-ML2738_S1_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160305_194A1_H3K27ac	hg19	PRIMARY_ML2811_H3K27AC_A	PRIMARY_ML2811_input_A		PRIMARY_ML2811_H3K27AC_A_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160305-194A1-H3K27Ac-ML2811_S4_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160305_broadchor2_H3K27ac	hg19	PRIMARY_ML2811_H3K27AC_B	PRIMARY_ML2811_input_B		PRIMARY_ML2811_H3K27AC_B_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160305-broadchor2-H3K27Ac-ML2811_S2_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160305_194A1_inp	hg19	PRIMARY_ML2811_input_A	NONE		NONE	0,0,0	/storage/cylin/grail/data/chordoma/20160305-194A1-input-ML2811_S3_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160305_broadchor2_inp	hg19	PRIMARY_ML2811_input_B	NONE		NONE	0,0,0	/storage/cylin/grail/data/chordoma/20160305-broadchor2-input-ML2811_S1_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160417_142A2A4_H3K27ac	hg19	PRIMARY_ML2961_H3K27AC	PRIMARY_ML2961_input		PRIMARY_ML2961_H3K27AC_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160417-142A2A4-H3K27Ac-ML2961_S8_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160417_142A2A4_inp	hg19	PRIMARY_ML2961_input	NONE		NONE	0,0,0	/storage/cylin/grail/data/chordoma/20160417-142A2A4-input-ML2961_S7_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160426_A269A1_H3K27ac	hg19	PRIMARY_ML2991_H3K27AC	PRIMARY_ML2991_input		PRIMARY_ML2991_H3K27AC_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160426-A269A1-H3K27Ac-ML2991_S8_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160426_A269A1_inp	hg19	PRIMARY_ML2991_input	NONE		NONE	0,0,0	/storage/cylin/grail/data/chordoma/20160426-A269A1-input-ML2991_S7_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160510_142A2_H3K27ac	hg19	PRIMARY_ML3040_H3K27AC	PRIMARY_ML3040_input		PRIMARY_ML3040_H3K27AC_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160510-142A2-H3K27Ac-ML3040_S4_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160510_142A2_inp	hg19	PRIMARY_ML3040_input	NONE		NONE	0,0,0	/storage/cylin/grail/data/chordoma/20160510-142A2-input-ML3040_S3_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160707_243A2_H3K27ac	hg19	PRIMARY_ML3218_H3K27AC	PRIMARY_ML3218_input		PRIMARY_ML3218_H3K27AC_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160707-243A2-H3K27Ac-ML3218_S6_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160707_243A2_inp	hg19	PRIMARY_ML3218_input	NONE		NONE	0,0,0	/storage/cylin/grail/data/chordoma/20160707-243A2-input-ML3218_S5_R1_001.fastq.gz
/storage/cylin/grail/projects/proving_ground/bams/	20160708_269A7_H3K27ac	hg19	PRIMARY_ML3219_H3K27AC_A	PRIMARY_ML3219_input_A		PRIMARY_ML3219_H3K27AC_A_peaks.bed	0,0,0	/storage/cylin/grail/data/chordoma/20160708-269A7-H3K27Ac-ML3219_S2_R1_001.fastq.gz
